,PE,PB,ROE,ROA,DebtToEquity,Beta,MarketCap,DividendYield,52WeekChange,Momentum_6m,Volatility,Return_6m
VMC,37.260536,4.308486,0.120749995,0.059809998,67.823,0.799,35046531072,0.74,-0.0030630827,0.026152697160676697,0.27245346560045686,0.026152697160676697
GWW,27.176243,13.272649,0.5416,0.19601999,69.639,1.194,51029405696,0.86,0.13036251,-0.03194427463680749,0.22825759337862822,-0.03194427463680749
WAB,29.888891,3.1518583,0.106800005,0.05728,41.406,1.142,32683356160,0.53,0.15233338,0.007054608163993947,0.27870438791721247,0.007054608163993947
WMT,40.941906,8.698756,0.21414,0.07124,63.58,0.693,789447770112,0.96,0.6283852,0.2137107006537753,0.24883827666530423,0.2137107006537753
DIS,30.121754,1.6473712,0.05905,0.04251,42.447,1.442,167717715968,1.1,-0.20103818,-0.03062418618844509,0.29692540047750327,-0.03062418618844509
WM,35.52187,10.954972,0.34013999,0.07004,275.54,0.671,94771109888,1.41,0.12276316,0.08245934776604713,0.20078213828611086,0.08245934776604713
WEC,22.47619,2.782377,0.12247,0.02849,159.108,0.43,34640302080,3.28,0.3072579,0.1585739026497297,0.17253698695912348,0.1585739026497297
WELL,94.817604,2.8942215,0.0348,0.01729,49.196,0.918,98589802496,1.78,0.5690429,0.1080783273840793,0.20995878645481747,0.1080783273840793
WST,33.712715,5.7467422,0.17421,0.1033,11.457,1.22,15428799488,0.4,-0.42397678,-0.3240284550717356,0.5451348340935783,-0.3240284550717356
WY,53.663265,1.9784064,0.03706,0.02404,53.8,1.272,19081519104,3.25,-0.16950786,-0.13718499872638257,0.2609416352968302,-0.13718499872638257
WSM,18.10694,9.147127,0.52702,0.16951,62.888,1.754,19657693184,1.69,0.022776484,0.21073518195252183,0.5492058300002578,0.21073518195252183
WMB,32.714287,5.8527474,0.15782,0.03937,182.473,0.898,72679882752,3.4,0.5205586,0.1689080520845292,0.2605590301744034,0.1689080520845292
XEL,20.77647,2.0565374,0.102589995,0.02172,163.558,0.402,40742400000,3.24,0.29769588,0.13390302853358316,0.1981562511728059,0.13390302853358316
XYL,33.19407,2.7713392,0.08505,0.04441,19.323,1.073,29968676864,1.33,-0.119962096,-0.04628695438442254,0.2539738909573829,-0.04628695438442254
ZBH,23.109482,1.6348088,0.07253,0.046490002,53.067,0.845,20253972480,0.94,-0.16307741,-0.010153481765971972,0.23286146099744348,-0.010153481765971972
ZTS,29.184067,14.981667,0.51142,0.1487,143.166,0.925,71077593088,1.28,-0.06835461,-0.11322307901857376,0.2439470026226957,-0.11322307901857376
