,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
PPG,24840144896,3.5864332,1.195,2.55,0.23164929230174255,0.575,0.2909771996351018,30.515,19.369911,3.5864332,0.1765,0.06301,111.012
PPL,26251264000,1.8356165,0.717,3.0,0.025694906921908067,0.15454545454545454,0.26480158592689895,19.345,26.499998,1.8356165,0.07018,0.029719999,121.312
PFG,17688670208,1.5824625,1.008,3.92,0.3158021196870481,0.6977272727272728,0.42406114100487313,49.859,16.895075,1.5824625,0.09733,0.0027599998,39.589
PG,369640177664,7.1787634,0.411,2.65,-0.029386292253965437,0.07954545454545454,0.16143479022035653,21.962,24.985737,7.1787634,0.30294,0.10977,64.975
PGR,166786596864,5.7581463,0.404,1.71,0.17910046072041874,0.45,0.24698494088236336,49.41,19.184761,5.7581463,0.34338,0.06865,23.81
PLD,99204571136,1.8575599,1.268,3.85,0.20555112734673694,0.4954545454545455,0.25924893068677657,57.554,26.660847,1.8575599,0.06829,0.023759998,56.643
PRU,36671586304,1.227166,1.048,5.33,0.4248082880385271,0.8409090909090909,0.41350626282770764,84.414,16.339115,1.227166,0.07908,0.00234,148.073
PEG,39390904320,2.4062672,0.497,3.16,0.06382513023084864,0.2318181818181818,0.267648961801628,32.806,21.568306,2.4062672,0.11399999,0.02942,143.849
PTC,19553923072,5.773072,1.191,,0.21443691331600137,0.5295454545454545,0.41943180843499167,28.238,44.785713,5.773072,0.13915,0.06415,46.287
PSA,53343309824,10.22634,0.901,4.0,0.32059338373054724,0.7159090909090909,0.237854930848957,29.734,30.165676,10.22634,0.20121,0.07062,97.458
PHM,20537755648,1.6707429,1.383,0.87,0.31924581472530733,0.7136363636363636,0.4298720238135801,61.332,7.2365823,1.6707429,0.25522,0.13892001,17.795
PWR,48296574976,6.4798284,1.027,0.12,0.3813296744451067,0.7931818181818182,0.34364897278709755,50.293,52.478264,6.4798284,0.13731,0.050100002,63.537
QCOM,159407636480,5.759511,1.292,2.47,-0.06028560713044627,0.056818181818181816,0.4117692844290746,25.207,14.814284,5.759511,0.42205003,0.13428001,52.737
DGX,19754930176,2.8603756,0.525,1.81,0.029307582472837337,0.16136363636363638,0.2576677941544226,61.866,22.371683,2.8603756,0.13951999,0.06126,93.369
RL,15363227648,6.0539827,1.463,1.37,0.4198677567639772,0.8318181818181818,0.4930405412500158,41.087,22.695255,6.0539827,0.27571,0.07935,105.691
RJF,29524645888,2.5110116,1.041,1.4,0.4458034318947463,0.8590909090909091,0.3532370023416619,57.893,14.004816,2.5110116,0.18866,0.02664,36.485
RTX,171896684544,2.7943187,0.59,2.13,0.218734664672065,0.5409090909090909,0.37329980182956096,46.047,37.844116,2.7943187,0.07802,0.03471,67.798
O,51195604992,1.3116308,0.787,5.68,0.15454467430563987,0.3977272727272727,0.2757037227767249,43.221,51.53636,1.3116308,0.02507,0.02178,69.956
REG,13218252800,2.0239925,1.031,3.92,0.4478099442774861,0.8681818181818182,0.5170014268943838,35.761,34.303318,2.0239925,0.05821,0.029070001,71.062
REGN,56981770240,1.9018896,0.426,0.63,-0.021048493078310755,0.08409090909090909,0.3235594812242515,277.503,13.422687,1.9018896,0.15961,0.0691,9.204
RF,19021359104,1.1313088,0.982,4.81,0.5381577625576939,0.925,0.4805494010347635,18.704,10.222222,1.1313088,0.11306,0.0128,
RSG,77680500736,6.6499023,0.664,0.92,0.12650446046972363,0.3613636363636364,0.1975983372049671,37.381,37.54985,6.6499023,0.18545,0.06395,115.988
RMD,35929481216,6.4779124,0.783,0.87,-0.012269007489588719,0.1,0.30235466664345884,37.827,27.501682,6.4779124,0.25811002,0.14012,15.142
RVTY,10755637248,1.4267175,1.021,0.31,0.0977906818355913,0.29772727272727273,0.3241250895910419,63.958,37.70661,1.4267175,0.03824,0.02025,43.542
